Frame,Processing Time (s),Total Time (s),Peak Range (m),Peak Velocity (m/s),Peak Magnitude
0,1.945580005645752,1.9822056293487549,36.17115027829314,0.05941770647653044,7.467413577058599
1,1.0528740882873535,3.0747907161712646,0.43831168831167133,0.05941770647653044,7.434015323010598
2,2.250459671020508,5.373846530914307,36.17115027829314,0.05941770647653044,7.481330486301918
3,1.8745431900024414,7.295992851257324,36.17115027829314,0.05941770647653044,7.506210766219505
4,1.8831639289855957,9.225358247756958,36.17115027829314,0.05941770647653044,7.506384730680495
5,2.0340213775634766,11.305925369262695,36.17115027829314,0.05941770647653044,7.50498566914984
6,3.107351303100586,14.48460578918457,36.17115027829314,0.05941770647653044,7.505816069398259
7,3.1388535499572754,17.668092727661133,0.43831168831167133,0.05941770647653044,7.497631052639305
8,1.9481775760650635,19.652715921401978,0.43831168831167133,0.05941770647653044,7.50054667210897
9,1.9133169651031494,21.599282264709473,0.43831168831167133,0.05941770647653044,7.501603352875419
10,1.992870807647705,23.629542350769043,36.17115027829314,0.05941770647653044,7.49226057022878
11,2.3060920238494873,25.9624981880188,0.43831168831167133,0.05941770647653044,7.498491959716087
12,2.3834218978881836,28.395464658737183,0.43831168831167133,0.05941770647653044,7.503085432650266
13,2.006730318069458,30.438206911087036,0.43831168831167133,0.05941770647653044,7.504216053219989
14,2.045400381088257,32.53313970565796,0.43831168831167133,0.05941770647653044,7.497435921362371
15,1.1154518127441406,33.68947625160217,36.17115027829314,0.05941770647653044,7.459154360016636
16,2.1071972846984863,35.845600843429565,3.777829313543606,0.05941770647653044,7.4538339884697296
17,3.382976531982422,39.261284828186035,0.43831168831167133,0.05941770647653044,7.483549362343441
18,1.964723825454712,41.26793551445007,0.43831168831167133,0.05941770647653044,7.475252398014412
19,1.909395456314087,43.211671113967896,36.17115027829314,0.05941770647653044,7.485830548002635
20,1.8273932933807373,45.07501721382141,0.43831168831167133,0.05941770647653044,7.488680197212251
