Frame,Processing Time (s),Total Time (s),Peak Range (m),Peak Velocity (m/s),Peak Magnitude
0,2.3599514961242676,2.392239570617676,16.801948051948045,-1.0101010101010104,5.623254902715235
1,2.3065404891967773,4.746786594390869,16.801948051948045,-1.0101010101010104,5.574216588987207
2,2.3986244201660156,7.195255517959595,16.801948051948045,-0.8912655971479495,5.528308884966196
3,2.288048505783081,9.536988258361816,16.801948051948045,1.0101010101010104,5.725121733352237
4,2.406681537628174,11.978099822998047,16.801948051948045,1.1289364230540713,5.585574397878412
5,2.836862325668335,14.849792003631592,,,
6,2.3504881858825684,17.241617918014526,16.801948051948045,-0.8912655971479495,5.558625211189917
7,2.257319450378418,19.55144476890564,17.469851576994415,1.1289364230540713,5.63699037276482
8,1.4167959690093994,21.00521230697632,17.469851576994415,1.0101010101010104,5.622732919661225
9,2.4855868816375732,23.528743982315063,17.469851576994415,1.0101010101010104,5.59086090836186
10,2.5075783729553223,26.07359528541565,16.801948051948045,1.1289364230540713,5.536295222768978
11,3.763930320739746,29.884489059448242,,,
12,2.932040214538574,32.86400103569031,17.469851576994415,1.0101010101010104,5.584572552355446
13,2.3777084350585938,35.279874324798584,17.469851576994415,1.0101010101010104,5.679369397072044
14,2.534669876098633,37.85028576850891,,,
15,2.5394339561462402,40.42272186279297,,,
16,2.5175509452819824,42.9908185005188,16.801948051948045,1.0101010101010104,5.648325609195736
17,2.5224416255950928,45.55154204368591,16.801948051948045,1.0101010101010104,5.7178332238739396
18,3.3423736095428467,49.03083062171936,16.801948051948045,1.0101010101010104,5.609440629722524
19,1.6384305953979492,50.737144947052,17.469851576994415,1.0101010101010104,5.507231100224514
20,2.3379406929016113,53.11723351478577,17.469851576994415,-1.0101010101010104,5.611419070546117
