Frame,Processing Time (s),Total Time (s),Peak Range (m),Peak Velocity (m/s),Peak Magnitude
0,1.9222161769866943,1.9555034637451172,26.152597402597394,1.2477718360071322,4.9601841545647565
1,2.0431859493255615,4.051339149475098,17.13589981447123,-1.0101010101010104,5.466137423938122
2,1.8314895629882812,5.928364038467407,16.801948051948045,-0.8912655971479495,5.528308884966196
3,1.829016923904419,7.807596445083618,36.505102040816325,-0.8912655971479495,5.060817839042186
4,1.714799165725708,9.573846578598022,36.505102040816325,1.1289364230540713,5.253298001306579
5,1.8524527549743652,11.479582071304321,,,
6,1.9341480731964111,13.469058275222778,36.505102040816325,1.0101010101010104,5.294968454886977
7,2.0945558547973633,15.610299110412598,17.13589981447123,-1.0101010101010104,5.436041120463792
8,1.9883053302764893,17.649680852890015,55.20640074211502,1.0101010101010104,5.004097479640394
9,2.1094815731048584,19.798819541931152,17.469851576994415,1.0101010101010104,5.59086090836186
10,2.378040313720703,22.21916675567627,7.785250463821882,-1.0101010101010104,5.091123478008613
11,2.540620803833008,24.808329105377197,,,
12,2.3010141849517822,27.14266037940979,17.469851576994415,1.0101010101010104,5.584572552355446
13,1.6061561107635498,28.796388626098633,26.152597402597394,0.5347593582887704,4.890775195030485
14,1.920022964477539,30.75763988494873,,,
15,1.8601627349853516,32.66415333747864,,,
16,2.1881251335144043,34.89241337776184,16.801948051948045,1.0101010101010104,5.648325609195736
17,2.7061028480529785,37.638489723205566,16.801948051948045,1.0101010101010104,5.7178332238739396
18,2.153353452682495,39.85392117500305,16.801948051948045,1.0101010101010104,5.609440629722524
19,2.0461604595184326,41.94823861122131,26.152597402597394,0.5347593582887704,4.901210603824275
20,2.0685536861419678,44.058924198150635,17.469851576994415,1.1289364230540713,5.540887219954395
