Frame,Processing Time (s),Total Time (s),Peak Range (m),Peak Velocity (m/s),Peak Magnitude
0,1.5503301620483398,1.6018238067626953,36.17115027829314,0.05941770647653044,7.495821848297646
1,2.096484899520874,3.744161367416382,36.17115027829314,0.05941770647653044,7.492654597316148
2,2.0351312160491943,5.853899002075195,36.17115027829314,0.05941770647653044,7.498079690503189
3,2.080622911453247,7.978095769882202,36.17115027829314,0.05941770647653044,7.5023853265226785
4,2.104485273361206,10.12354850769043,36.17115027829314,0.05941770647653044,7.499032841808139
5,2.2896487712860107,12.457319974899292,36.17115027829314,0.05941770647653044,7.495724574805476
6,2.3937935829162598,14.89737582206726,36.17115027829314,0.05941770647653044,7.482490580594016
7,2.3958747386932373,17.343081951141357,36.17115027829314,0.05941770647653044,7.5133749487877655
8,2.2642838954925537,19.652666568756104,36.17115027829314,0.05941770647653044,7.5060825569004805
9,2.154207468032837,21.879882097244263,36.17115027829314,0.05941770647653044,7.490586293306471
