Frame,Processing Time (s),Total Time (s),Peak Range (m),Peak Velocity (m/s),Peak Magnitude
0,1.5421781539916992,1.5849721431732178,17.13589981447123,1.3666072489601895,5.234586417257685
1,2.5505943298339844,4.182502508163452,17.13589981447123,1.3666072489601895,5.162967287893132
2,2.6437056064605713,6.873932361602783,16.801948051948045,1.3666072489601895,5.132796752720914
3,2.5499541759490967,9.464436531066895,17.13589981447123,1.3666072489601895,5.165023554980893
4,2.511704921722412,12.024435997009277,17.13589981447123,1.1289364230540713,4.926891671842794
5,2.4969913959503174,14.561165571212769,,,
6,2.230862855911255,16.833740711212158,17.13589981447123,1.2477718360071322,5.019537908440038
7,2.1050918102264404,18.965861797332764,17.13589981447123,-1.2477718360071304,5.194633472822774
8,2.175769329071045,21.198482036590576,17.13589981447123,1.2477718360071322,4.915864385411654
9,2.2633090019226074,23.51091480255127,17.13589981447123,1.1289364230540713,4.899618400258734
