Frame,Processing Time (s),Total Time (s),Peak Range (m),Peak Velocity (m/s),Peak Magnitude
0,2.7618637084960938,2.806398391723633,17.13589981447123,1.3666072489601895,5.74630772546833
1,2.622598886489868,5.468891620635986,17.13589981447123,1.3666072489601895,5.73305243612624
2,2.4884774684906006,7.99970817565918,17.13589981447123,1.3666072489601895,5.7211704459802615
3,2.7549474239349365,10.808413982391357,17.13589981447123,1.3666072489601895,5.7402458566528995
4,2.852872610092163,13.704814910888672,17.13589981447123,1.1289364230540713,5.605509237555225
5,3.406873941421509,17.16448664665222,,,
6,2.17438006401062,19.37793254852295,17.13589981447123,1.2477718360071322,5.636651102031925
7,1.808995008468628,21.24105405807495,0.43831168831167133,0.6535947712418313,5.923623070017094
8,1.8883836269378662,23.170196533203125,17.13589981447123,1.2477718360071322,5.526407566614872
9,1.8369004726409912,25.041544675827026,17.13589981447123,1.1289364230540713,5.563955549054242
