Frame,Processing Time (s),Total Time (s),Peak Range (m),Peak Velocity (m/s),Peak Magnitude
0,0.03057718276977539,0.06759166717529297,17.13589981447123,1.3666072489601895,5.74630772546833
1,0.025353670120239258,0.13117265701293945,17.13589981447123,1.3666072489601895,5.73305243612624
2,0.02809453010559082,0.19493913650512695,17.13589981447123,1.3666072489601895,5.7211704459802615
3,0.021938562393188477,0.2515254020690918,17.13589981447123,1.3666072489601895,5.7402458566528995
4,0.02327275276184082,0.3119833469390869,1.4401669758812545,1.1289364230540713,6.892783042848517
5,0.02030014991760254,0.36957359313964844,17.13589981447123,-1.0101010101010104,5.622969500996738
6,0.03240370750427246,0.4514191150665283,17.13589981447123,1.2477718360071322,5.636651102031925
7,0.025295019149780273,0.5102918148040771,1.1062152133580696,0.6535947712418313,6.771725127690563
8,0.024946928024291992,0.5704476833343506,17.13589981447123,1.2477718360071322,5.526407566614872
9,0.023851633071899414,0.6295838356018066,17.13589981447123,1.1289364230540713,5.563955549054242
