Frame,Processing Time (s),Total Time (s),Peak Range (m),Peak Velocity (m/s),Peak Magnitude
0,2.241252899169922,2.2881886959075928,16.801948051948045,1.0101010101010104,5.599705829488146
1,2.154414653778076,4.501060247421265,16.801948051948045,0.8912655971479495,5.45179770956964
2,2.214189291000366,6.777220726013184,16.801948051948045,-0.7724301841948904,5.413362378588992
3,2.220521926879883,9.031080484390259,16.801948051948045,1.0101010101010104,5.557760125041481
4,2.270264148712158,11.375768184661865,16.801948051948045,0.8912655971479495,5.514258959148138
5,2.2296862602233887,13.646189451217651,,,
6,2.232954978942871,15.922543048858643,16.801948051948045,0.8912655971479495,5.443013341220342
7,2.221003293991089,18.186667442321777,16.801948051948045,1.0101010101010104,5.60973775118853
8,2.23846173286438,20.473937273025513,17.469851576994415,0.7724301841948904,5.196955209157811
9,2.2592732906341553,22.77487325668335,16.801948051948045,0.8912655971479495,5.4977086533137705
10,2.243459701538086,25.070085287094116,17.469851576994415,1.1289364230540713,5.522204940090642
11,2.190537214279175,27.294512271881104,,,
12,1.2513189315795898,28.601450204849243,16.801948051948045,1.0101010101010104,5.627678254728425
13,2.170405626296997,30.81620502471924,16.801948051948045,0.8912655971479495,5.545673955267039
14,2.193770170211792,33.05033349990845,,,
15,2.2013115882873535,35.31160759925842,,,
16,2.288203477859497,37.63256883621216,17.469851576994415,1.0101010101010104,5.46130149939797
17,2.233792781829834,39.92025399208069,16.801948051948045,1.0101010101010104,5.57391005401093
18,2.222050905227661,42.18057918548584,16.801948051948045,0.8912655971479495,5.458197680452873
19,2.243406295776367,44.46412920951843,16.801948051948045,0.8912655971479495,5.510606072082132
20,2.264578104019165,46.765708446502686,17.469851576994415,0.8912655971479495,5.486721468636683
21,2.226876974105835,49.03373646736145,,,
