Frame,Processing Time (s),Total Time (s),Peak Range (m),Peak Velocity (m/s),Peak Magnitude
0,1.7792630195617676,1.8175256252288818,36.505102040816325,1.0101010101010104,5.327102479567731
1,1.755173683166504,3.6160783767700195,26.152597402597394,0.5347593582887704,4.804177158520603
2,1.754845142364502,5.4133405685424805,36.505102040816325,-0.7724301841948904,5.022446899468119
3,1.7437357902526855,7.185177326202393,17.13589981447123,-0.8912655971479495,5.4463818508676844
4,1.771367073059082,9.00872254371643,26.152597402597394,-0.7724301841948904,4.726333308936695
5,1.7339951992034912,10.779326915740967,,,
6,0.7945437431335449,11.620933055877686,7.451298701298697,0.5347593582887704,5.060712735914225
7,1.7404181957244873,13.409061670303345,7.451298701298697,0.5347593582887704,5.250651502776813
8,1.765751838684082,15.230644702911377,168.08209647495363,-0.6535947712418295,4.414797379731751
9,1.7422912120819092,17.02898597717285,7.785250463821882,-0.7724301841948904,4.817441349892488
10,1.8287489414215088,18.912510871887207,26.152597402597394,0.5347593582887704,4.901011327122236
11,1.8771605491638184,20.86348843574524,,,
12,1.8598687648773193,22.761085987091064,7.451298701298697,0.5347593582887704,5.2677290141606905
13,1.8159213066101074,24.630413055419922,17.13589981447123,0.8912655971479495,5.415376842160924
14,1.8985838890075684,26.589925289154053,,,
15,1.8965299129486084,28.532591104507446,,,
16,1.8035476207733154,30.381091356277466,36.505102040816325,-0.8912655971479495,5.163287699370977
17,1.7408227920532227,32.154762983322144,55.20640074211502,-0.8912655971479495,4.910120650514786
18,1.737231969833374,33.94437217712402,41.84833024118737,-0.7724301841948904,4.701147735818463
19,1.7546651363372803,35.740493297576904,26.152597402597394,0.5347593582887704,4.8742911670535864
20,1.807852029800415,37.607280254364014,3.777829313543606,0.8912655971479495,4.9290948409395146
21,1.7856025695800781,39.45592498779297,,,
