Frame,Processing Time (s),Total Time (s),Peak Range (m),Peak Velocity (m/s),Peak Magnitude
0,1.9884347915649414,2.0160953998565674,16.801948051948045,1.1289364230540713,5.544081445654063
1,1.9353809356689453,3.996807098388672,17.469851576994415,-1.0101010101010104,5.633521729080897
2,2.0099446773529053,6.050837993621826,37.173005565862695,0.2970885323826504,5.668065645482106
3,1.1282589435577393,7.227538347244263,0.7722634508348847,1.3666072489601895,6.101554101934619
4,1.9577794075012207,9.249303102493286,2.4420222634508377,1.2477718360071322,6.195640082269145
5,1.9698185920715332,11.249008655548096,,,
6,1.9604322910308838,13.252110958099365,1.4401669758812545,-1.0101010101010104,5.661308262963297
7,1.986339807510376,15.285912036895752,0.43831168831167133,-0.17825311942958955,6.305451519692234
8,1.9561350345611572,17.300720691680908,0.7722634508348847,0.7724301841948904,5.960591930480807
9,2.021742105484009,19.380088806152344,16.801948051948045,-0.8912655971479495,5.509132304330442
10,1.9470508098602295,21.386396169662476,0.10435992578848641,1.1289364230540713,5.5566116110861445
11,1.9564852714538574,23.402647733688354,,,
12,1.9814486503601074,25.424283027648926,1.4401669758812545,0.5347593582887704,5.852121372335816
13,1.9310286045074463,27.38797402381897,17.469851576994415,-1.1289364230540695,5.690746695018973
14,1.9129037857055664,29.34162402153015,,,
15,1.9720728397369385,31.35685634613037,,,
16,1.9300944805145264,33.32638096809387,1.4401669758812545,0.7724301841948904,5.531960256740036
17,1.943725824356079,35.31359934806824,17.469851576994415,-1.0101010101010104,5.651202298160244
18,1.961632251739502,37.31800580024719,17.469851576994415,0.8912655971479495,5.515609532388194
19,1.0118741989135742,38.37973380088806,2.108070500927653,0.8912655971479495,6.092562945348123
20,1.9469397068023682,40.365774154663086,17.469851576994415,-0.8912655971479495,5.522832869500477
21,1.956268310546875,42.360952854156494,,,
