Frame,Processing Time (s),Total Time (s),Peak Range (m),Peak Velocity (m/s),Peak Magnitude
0,0.01468038558959961,0.03969240188598633,3.777829313543606,0.05941770647653044,7.62629040047545
1,0.01086735725402832,0.08981013298034668,0.10435992578848641,0.05941770647653044,7.7011467317757925
2,0.010391950607299805,0.16470551490783691,3.777829313543606,0.05941770647653044,7.652537227700343
3,0.01163792610168457,0.214249849319458,3.4438775510203925,0.05941770647653044,7.624425282578713
4,0.011771917343139648,0.27083587646484375,3.4438775510203925,0.05941770647653044,7.62141449304263
5,0.010334968566894531,0.3194446563720703,5.1136363636363455,0.05941770647653044,7.613437511261211
6,0.011890172958374023,0.3720433712005615,3.777829313543606,0.05941770647653044,7.632670194044449
7,0.011957883834838867,0.4244198799133301,0.43831168831167133,-0.17825311942958955,7.646444991315309
8,0.010755538940429688,0.480194091796875,3.4438775510203925,0.05941770647653044,7.649855891853546
9,0.010979413986206055,0.5400030612945557,3.4438775510203925,0.05941770647653044,7.700619149108354
10,0.010872840881347656,0.5964329242706299,0.10435992578848641,0.05941770647653044,7.687877441652653
11,0.01151728630065918,0.6451482772827148,0.10435992578848641,0.05941770647653044,7.68290226359392
12,0.012251138687133789,0.7077479362487793,0.10435992578848641,0.05941770647653044,7.678804551083865
13,0.010513544082641602,0.7567074298858643,3.4438775510203925,0.05941770647653044,7.686630136071418
14,0.011081695556640625,0.8159818649291992,0.10435992578848641,0.05941770647653044,7.648387715799704
15,0.011199474334716797,0.871706485748291,3.4438775510203925,0.05941770647653044,7.604083451351658
16,0.010725021362304688,0.9314134120941162,0.10435992578848641,0.05941770647653044,7.658105417174359
17,0.015295743942260742,1.0059747695922852,0.10435992578848641,0.05941770647653044,7.641329191730282
18,0.014574050903320312,1.0730047225952148,0.10435992578848641,0.05941770647653044,7.62645174030697
19,0.013299226760864258,1.1260666847229004,0.10435992578848641,0.05941770647653044,7.6289680435310965
20,0.012156486511230469,1.1780941486358643,0.10435992578848641,0.05941770647653044,7.609984631826454
21,0.01319575309753418,1.2367901802062988,0.10435992578848641,0.05941770647653044,7.617006009178707
