Frame,Processing Time (s),Total Time (s),Peak Range (m),Peak Velocity (m/s),Peak Magnitude
0,2.120692014694214,2.1639604568481445,17.469851576994415,1.1289364230540713,5.644067702875722
1,2.061628580093384,4.264380216598511,37.173005565862695,-0.7724301841948904,5.300570768095995
2,1.989670753479004,6.29108190536499,17.469851576994415,-1.1289364230540695,5.468741580678916
3,1.9147393703460693,8.245668172836304,0.10435992578848641,1.3666072489601895,6.651944168429937
4,1.9422180652618408,10.222580432891846,70.56818181818181,-1.3666072489601895,5.431735520942204
5,1.9339911937713623,12.193101406097412,,,
6,1.9357304573059082,14.185466766357422,3.4438775510203925,-0.8912655971479495,6.533506627582489
7,2.010883331298828,16.235113382339478,7.451298701298697,0.6535947712418313,5.266471039368071
8,2.0530056953430176,18.336347818374634,38.17486085343228,-0.5347593582887704,5.598828614258394
9,1.0551567077636719,19.418325424194336,0.43831168831167133,1.1289364230540713,6.775043573171837
10,1.7848012447357178,21.243314027786255,32.163729128014836,-1.0101010101010104,5.100207034067234
11,1.7545843124389648,23.035178422927856,,,
12,1.8915629386901855,24.973979473114014,7.451298701298697,0.6535947712418313,5.06460847661951
13,1.8450980186462402,26.85110592842102,7.451298701298697,0.6535947712418313,5.164982500141252
14,1.8702466487884521,28.749256134033203,,,
