Frame,Processing Time (s),Total Time (s),Peak Range (m),Peak Velocity (m/s),Peak Magnitude
0,1.8473289012908936,1.8770678043365479,36.17115027829314,0.05941770647653044,7.821703113095582
1,1.7530620098114014,3.672067403793335,36.17115027829314,0.05941770647653044,7.818841513472048
2,1.7653815746307373,5.482365846633911,36.17115027829314,0.05941770647653044,7.817650308706082
3,1.7978579998016357,7.319493055343628,36.17115027829314,0.05941770647653044,7.823186841669399
4,1.6838934421539307,9.041544198989868,36.17115027829314,0.05941770647653044,7.830141482338494
5,1.5793497562408447,10.673325777053833,36.17115027829314,0.05941770647653044,7.822931650765601
6,1.725754976272583,12.443198919296265,36.17115027829314,0.05941770647653044,7.817620243335479
7,1.7214279174804688,14.206054210662842,36.17115027829314,0.05941770647653044,7.78707020646435
8,3.8507232666015625,18.10535216331482,36.17115027829314,0.05941770647653044,7.820458730255243
9,2.1946322917938232,20.33458375930786,36.17115027829314,0.05941770647653044,7.816317759190732
10,1.6314246654510498,22.009939193725586,36.17115027829314,0.05941770647653044,7.816518216239682
11,1.6363766193389893,23.68025016784668,36.17115027829314,0.05941770647653044,7.81250786155357
12,1.6760714054107666,25.4032781124115,36.17115027829314,0.05941770647653044,7.818133282477981
13,1.6020402908325195,27.05275297164917,36.17115027829314,0.05941770647653044,7.81316714518369
14,1.7156038284301758,28.80765700340271,36.17115027829314,0.05941770647653044,7.816989632499581
15,1.6060500144958496,30.45534038543701,36.17115027829314,0.05941770647653044,7.808695919357866
16,1.70332932472229,32.199692249298096,36.17115027829314,0.05941770647653044,7.801442987246611
17,1.7603332996368408,33.99832320213318,36.17115027829314,0.05941770647653044,7.807230231918159
18,1.9232690334320068,35.96086120605469,36.17115027829314,0.05941770647653044,7.808617501058199
19,1.8595366477966309,37.87274503707886,36.17115027829314,0.05941770647653044,7.80006521224122
20,1.711782693862915,39.62930464744568,36.17115027829314,0.05941770647653044,7.7962872987931915
21,1.6897666454315186,41.351635217666626,36.17115027829314,0.05941770647653044,7.799336325885823
22,1.7338159084320068,43.12664175033569,36.17115027829314,0.05941770647653044,7.797945712919465
23,1.5852539539337158,44.75514793395996,36.17115027829314,0.05941770647653044,7.790218072697282
24,1.7525415420532227,46.55247163772583,36.17115027829314,0.05941770647653044,7.784193933580877
25,1.9564778804779053,48.548649072647095,36.17115027829314,0.05941770647653044,7.79663770339073
26,1.7662749290466309,50.35417628288269,36.17115027829314,0.05941770647653044,7.789233191093704
27,1.802264928817749,52.21752858161926,36.17115027829314,0.05941770647653044,7.797660696279276
