Frame,Processing Time (s),Total Time (s),Peak Range (m),Peak Velocity (m/s),Peak Magnitude
0,2.381110429763794,2.416011095046997,17.469851576994415,1.0101010101010104,5.574644203468471
1,2.298794984817505,4.7588653564453125,17.469851576994415,1.0101010101010104,5.629035149163248
2,2.225111722946167,7.042490243911743,17.469851576994415,1.1289364230540713,5.539284567267602
3,2.440702199935913,9.515182256698608,3.1099257884972076,-1.0101010101010104,6.5237812965034285
4,2.234485626220703,11.794151067733765,2.4420222634508377,-0.7724301841948904,5.879983959196112
5,2.349835157394409,14.188453197479248,,,
6,2.2837235927581787,16.510879278182983,38.17486085343228,-1.0101010101010104,6.162632546872183
7,2.2216572761535645,18.78231191635132,37.84090909090909,0.6535947712418313,6.381949888737584
8,2.264509439468384,21.09023141860962,0.7722634508348847,1.1289364230540713,6.014258944204602
9,3.8020851612091064,24.933112859725952,17.469851576994415,-1.0101010101010104,5.693253203966843
10,2.1512491703033447,27.141807794570923,17.469851576994415,1.1289364230540713,5.563078398035702
11,2.414191484451294,29.616670608520508,,,
12,3.249680995941162,32.965254068374634,17.469851576994415,-1.0101010101010104,5.553667706155196
13,3.204972982406616,36.23046827316284,16.801948051948045,1.0101010101010104,5.439290931107886
14,2.887465000152588,39.16022825241089,,,
15,2.293222665786743,41.498329162597656,,,
16,2.175865888595581,43.71544671058655,4.445732838589976,0.6535947712418313,5.608961575700467
17,3.81611967086792,47.5710084438324,17.469851576994415,1.0101010101010104,5.548927910344025
18,2.622666835784912,50.2308292388916,17.469851576994415,1.1289364230540713,5.722485237286684
19,2.3597419261932373,52.62307572364807,17.469851576994415,1.0101010101010104,5.6203242640938536
20,2.1950788497924805,54.85246801376343,17.469851576994415,1.0101010101010104,5.555139227196091
21,2.3122634887695312,57.20643353462219,,,
22,2.4774134159088135,59.72613215446472,17.469851576994415,1.0101010101010104,5.610705565980409
23,3.144634246826172,62.91475319862366,,,
24,2.7541556358337402,65.72086071968079,,,
25,2.2706854343414307,68.03573417663574,,,
26,2.3246216773986816,70.39829659461975,,,
27,2.2805123329162598,72.70778965950012,17.469851576994415,-1.1289364230540695,5.720823437522958
