Frame,Processing Time (s),Total Time (s),Peak Range (m),Peak Velocity (m/s),Peak Magnitude
0,1.910926103591919,1.9486823081970215,17.469851576994415,1.0101010101010104,5.574644203468471
1,2.0254082679748535,4.029059410095215,17.469851576994415,-0.8912655971479495,5.537306206959705
2,3.848644971847534,7.911631345748901,10.456864564007418,1.0101010101010104,5.0862903169743765
3,1.6943087577819824,9.640159606933594,3.1099257884972076,-1.0101010101010104,6.5237812965034285
4,1.6500053405761719,11.346293210983276,2.4420222634508377,-0.7724301841948904,5.879983959196112
5,1.6773951053619385,13.0582115650177,1.4401669758812545,-1.1289364230540695,6.363584475949127
6,1.8051815032958984,14.893770694732666,38.17486085343228,-1.0101010101010104,6.162632546872183
7,1.748199701309204,16.686198949813843,37.84090909090909,0.6535947712418313,6.381949888737584
8,1.7517247200012207,18.481393575668335,38.84276437847865,1.1289364230540713,5.975512188194587
9,1.7422354221343994,20.268736124038696,17.469851576994415,-1.0101010101010104,5.693253203966843
10,1.8041810989379883,22.12702751159668,1.4401669758812545,0.2970885323826504,5.0909600582007615
11,1.815141201019287,23.97847628593445,,,
12,1.689659595489502,25.717864751815796,7.451298701298697,0.5347593582887704,5.1277481207420745
13,1.7721726894378662,27.53793454170227,10.122912801484233,-0.8912655971479495,4.828982741486268
14,1.7278263568878174,29.309309244155884,,,
15,1.735199213027954,31.087533473968506,,,
16,1.7136094570159912,32.85687804222107,4.445732838589976,0.6535947712418313,5.608961575700467
17,1.7490041255950928,34.652199268341064,17.469851576994415,1.0101010101010104,5.548927910344025
18,1.6736805438995361,36.357027769088745,17.469851576994415,1.1289364230540713,5.722485237286684
19,1.71134614944458,38.109503984451294,10.456864564007418,1.0101010101010104,5.124606689433015
20,1.7050585746765137,39.84990668296814,17.469851576994415,1.0101010101010104,5.555139227196091
21,1.7879273891448975,41.67787313461304,,,
22,1.8762867450714111,43.593188762664795,17.469851576994415,1.0101010101010104,5.610705565980409
23,1.9131810665130615,45.544349193573,,,
24,1.730964183807373,47.30747437477112,,,
25,1.7782459259033203,49.13525867462158,,,
26,1.720766305923462,50.88762927055359,,,
27,2.4960532188415527,53.439963817596436,36.17115027829314,1.0101010101010104,5.392326308343502
