Frame,Processing Time (s),Total Time (s),Peak Range (m),Peak Velocity (m/s),Peak Magnitude
0,2.3795957565307617,2.4282751083374023,0.10435992578848641,0.05941770647653044,7.750324173074699
1,2.5455667972564697,5.014967441558838,37.173005565862695,0.05941770647653044,7.750547260579558
2,2.24037766456604,7.289818048477173,0.10435992578848641,0.05941770647653044,7.75132123809618
3,2.5667078495025635,9.898577451705933,0.10435992578848641,0.05941770647653044,7.7466505658236136
4,2.3451313972473145,12.281962633132935,36.17115027829314,0.05941770647653044,7.6461651017854315
5,2.4645137786865234,14.781619548797607,36.17115027829314,0.05941770647653044,7.687014911451858
6,2.452924966812134,17.278904676437378,36.17115027829314,0.05941770647653044,7.695514714866358
7,2.439972400665283,19.755980253219604,36.17115027829314,0.05941770647653044,7.6890894185305845
8,2.426142454147339,22.227404356002808,36.17115027829314,0.05941770647653044,7.691824089803268
9,2.530925750732422,24.79528784751892,36.17115027829314,0.05941770647653044,7.692790860422352
10,2.6569738388061523,27.492583751678467,36.17115027829314,0.05941770647653044,7.686994350306371
11,2.4781835079193115,30.020105361938477,36.17115027829314,0.05941770647653044,7.670000117803774
12,2.3801753520965576,32.43309259414673,36.17115027829314,0.05941770647653044,7.653122254352171
13,2.3516054153442383,34.82025933265686,36.17115027829314,0.05941770647653044,7.6705073363856595
14,2.192384958267212,37.042285442352295,36.17115027829314,0.05941770647653044,7.694980386656782
15,2.1862847805023193,39.27150511741638,36.17115027829314,0.05941770647653044,7.698638449224838
16,2.2875711917877197,41.600045680999756,36.17115027829314,0.05941770647653044,7.6987627968928205
17,2.2417635917663574,43.87434220314026,36.17115027829314,0.05941770647653044,7.6977162750979415
18,2.344054698944092,46.27347469329834,36.17115027829314,0.05941770647653044,7.684565315107077
19,2.346078395843506,48.66909217834473,36.17115027829314,0.05941770647653044,7.689073796028723
20,2.3481101989746094,51.0501024723053,36.17115027829314,0.05941770647653044,7.697514588359251
21,2.350674629211426,53.44123387336731,36.17115027829314,0.05941770647653044,7.681055576604869
22,2.3677170276641846,55.84384322166443,36.17115027829314,0.05941770647653044,7.682530193702445
