Frame,Processing Time (s),Total Time (s),Peak Range (m),Peak Velocity (m/s),Peak Magnitude
0,2.394470691680908,2.425229549407959,17.469851576994415,0.8912655971479495,5.432096129295
1,2.454671621322632,4.923872470855713,17.469851576994415,-1.0101010101010104,5.648369610643004
2,2.3770911693573,7.338995456695557,17.469851576994415,1.0101010101010104,5.590962678243165
3,2.322998046875,9.70413851737976,17.469851576994415,-0.8912655971479495,5.619975627993412
4,2.2861642837524414,12.037920713424683,0.10435992578848641,1.3666072489601895,7.019828280028332
5,2.4153637886047363,14.502523422241211,,,
6,2.3343470096588135,16.875611066818237,2.7759740259740227,1.1289364230540713,6.225492318634781
7,2.4709508419036865,19.390137195587158,17.469851576994415,-0.8912655971479495,5.517097869746829
8,2.430706739425659,21.85107922554016,17.469851576994415,-0.8912655971479495,5.53164517139087
9,2.3398537635803223,24.233359336853027,17.469851576994415,1.1289364230540713,5.542191714814595
10,2.3124568462371826,26.594939470291138,2.108070500927653,-1.2477718360071304,6.549959762914583
11,2.4342586994171143,29.065200090408325,,,
12,2.9355597496032715,32.06791639328003,0.10435992578848641,0.5347593582887704,6.430534822824718
13,2.814298629760742,34.946181535720825,0.7722634508348847,0.4159239453357113,6.3731618472609615
14,2.502713680267334,37.496453523635864,,,
15,2.385497808456421,39.928571939468384,,,
16,2.3885648250579834,42.351263999938965,17.469851576994415,-1.0101010101010104,5.7817775859722005
17,2.6038429737091064,45.01758432388306,17.469851576994415,1.3666072489601895,5.709176455061152
18,2.9481143951416016,48.00408887863159,0.10435992578848641,-1.0101010101010104,6.236763947417358
19,2.4188661575317383,50.46722888946533,17.469851576994415,-1.0101010101010104,5.598304243374695
20,2.3993124961853027,52.90506935119629,17.469851576994415,1.2477718360071322,5.663248605693088
21,2.470231056213379,55.41694641113281,,,
22,2.47575306892395,57.93146753311157,17.469851576994415,1.0101010101010104,5.587095113982439
