Frame,Processing Time (s),Total Time (s),Peak Range (m),Peak Velocity (m/s),Peak Magnitude
0,1.8457520008087158,1.8895785808563232,17.469851576994415,-0.7724301841948904,4.6501446146575445
1,1.6962225437164307,3.6274831295013428,,,
2,1.940782070159912,5.604835748672485,17.469851576994415,1.0101010101010104,4.960268371826952
3,1.9234333038330078,7.57548713684082,17.469851576994415,-0.8912655971479495,4.904197566830052
4,1.830963373184204,9.442008972167969,28.15630797773653,1.3666072489601895,5.032474752744818
5,1.8037748336791992,11.290850162506104,,,
6,1.8414433002471924,13.162923097610474,2.7759740259740227,1.1289364230540713,5.573743283707944
7,1.7781293392181396,14.983386278152466,160.40120593692023,-0.8912655971479495,4.035108163423897
8,1.874302625656128,16.886428594589233,29.158163265306115,-0.8912655971479495,4.1598672607278475
9,1.8668575286865234,18.792162895202637,17.469851576994415,1.1289364230540713,4.954312421708361
10,1.81199312210083,20.642913341522217,2.108070500927653,-1.3666072489601895,5.999018051899969
11,1.8054983615875244,22.486817359924316,,,
12,1.8455705642700195,24.366870164871216,148.04499072356214,-0.8912655971479495,4.370643322812793
13,1.8204307556152344,26.224234104156494,0.7722634508348847,0.4159239453357113,5.291587480495261
14,1.9119367599487305,28.166627883911133,,,
15,1.787337064743042,29.998239040374756,,,
16,1.7700037956237793,31.8054940700531,,,
17,1.6905899047851562,33.53328323364258,65.89285714285711,-1.1289364230540695,4.180130833819589
18,1.7938807010650635,35.36836338043213,17.469851576994415,1.1289364230540713,4.9730409713370145
19,1.840259313583374,37.24284076690674,17.469851576994415,-1.0101010101010104,4.9265424564850475
20,1.8573827743530273,39.13147258758545,17.469851576994415,1.2477718360071322,5.037648625651794
21,1.8591079711914062,41.02889943122864,,,
22,1.8180060386657715,42.87860608100891,17.469851576994415,-0.8912655971479495,4.653612701473341
