Frame,Processing Time (s),Total Time (s),Peak Range (m),Peak Velocity (m/s),Peak Magnitude
0,2.056990146636963,2.094116687774658,17.469851576994415,0.8912655971479495,5.432096129295
1,1.9894776344299316,4.127780914306641,17.469851576994415,-1.0101010101010104,5.648369610643004
2,1.8977460861206055,6.071944236755371,17.469851576994415,1.0101010101010104,5.590962678243165
3,1.9916207790374756,8.095328330993652,17.469851576994415,-0.8912655971479495,5.619975627993412
4,1.846825361251831,9.987173557281494,0.10435992578848641,1.3666072489601895,7.019828280028332
5,1.8888211250305176,11.921034812927246,,,
6,1.9393751621246338,13.895942211151123,2.7759740259740227,1.1289364230540713,6.225492318634781
7,1.8754072189331055,15.808562278747559,17.469851576994415,-0.8912655971479495,5.517097869746829
8,1.934558629989624,17.775221586227417,17.469851576994415,-0.8912655971479495,5.53164517139087
9,1.8442728519439697,19.66235661506653,17.469851576994415,1.1289364230540713,5.542191714814595
10,1.939854621887207,21.647460222244263,2.108070500927653,-1.2477718360071304,6.549959762914583
11,1.8628337383270264,23.543713092803955,,,
12,1.8608980178833008,25.441701889038086,0.10435992578848641,0.5347593582887704,6.430534822824718
13,1.9520063400268555,27.429652452468872,0.7722634508348847,0.4159239453357113,6.3731618472609615
14,1.8936514854431152,29.36726713180542,,,
15,1.974851369857788,31.3747296333313,,,
16,1.9087588787078857,33.32775282859802,17.469851576994415,-1.0101010101010104,5.7817775859722005
17,1.9298126697540283,35.30323338508606,17.469851576994415,1.3666072489601895,5.709176455061152
18,1.8677515983581543,37.21247720718384,0.10435992578848641,-1.0101010101010104,6.236763947417358
19,1.8983769416809082,39.15713858604431,17.469851576994415,-1.0101010101010104,5.598304243374695
20,1.9024527072906494,41.09322118759155,17.469851576994415,1.2477718360071322,5.663248605693088
21,1.8285398483276367,42.967610359191895,,,
22,1.8416953086853027,44.84352517127991,17.469851576994415,1.0101010101010104,5.587095113982439
