Frame,Processing Time (s),Total Time (s),Peak Range (m),Peak Velocity (m/s),Peak Magnitude
0,3.13834547996521,3.2316906452178955,17.469851576994415,-1.0101010101010104,5.674730074625263
1,2.9289801120758057,6.22675633430481,17.469851576994415,0.8912655971479495,5.531150483522451
2,3.173475742340088,9.459834337234497,17.469851576994415,-0.7724301841948904,5.603231566883445
3,3.0230722427368164,12.547303676605225,0.10435992578848641,1.0101010101010104,6.671564152482237
4,2.8706977367401123,15.493491649627686,0.7722634508348847,1.0101010101010104,6.891295634934313
5,2.9018850326538086,18.473899126052856,,,
6,3.015810489654541,21.565025329589844,17.469851576994415,0.7724301841948904,5.382532595223127
7,3.2434561252593994,24.87449359893799,3.1099257884972076,-1.3666072489601895,6.388067898432353
8,2.739398956298828,27.677879810333252,1.1062152133580696,-1.3666072489601895,6.183145888097354
9,3.1795830726623535,30.91577172279358,17.469851576994415,0.8912655971479495,5.526333667610656
10,2.9802980422973633,33.94758486747742,38.50881261595546,0.8912655971479495,5.830126723272945
11,3.1999423503875732,37.20439410209656,,,
12,2.8865954875946045,40.14988112449646,3.4438775510203925,1.1289364230540713,5.952813340639411
13,3.0810399055480957,43.29523682594299,3.1099257884972076,-0.8912655971479495,6.0115488143907605
14,2.904526948928833,46.25586295127869,,,
15,2.9824440479278564,49.29022550582886,,,
16,3.0666165351867676,52.42259216308594,0.10435992578848641,0.4159239453357113,6.091771967997905
17,2.9654123783111572,55.47185397148132,0.7722634508348847,1.0101010101010104,6.644440662639897
18,2.985675573348999,58.540310859680176,17.469851576994415,0.8912655971479495,5.504850078675519
19,2.857097625732422,61.44622302055359,17.469851576994415,-0.7724301841948904,5.507910533720541
20,2.8725152015686035,64.38069081306458,0.10435992578848641,-1.0101010101010104,5.922956577243967
21,3.0435094833374023,67.53732681274414,,,
22,3.1504199504852295,70.76978707313538,17.469851576994415,-1.3666072489601895,5.4277671953938675
23,2.8785040378570557,73.72548699378967,,,
24,3.2065582275390625,77.02513647079468,,,
25,3.1758337020874023,80.26719427108765,,,
