Frame,Processing Time (s),Total Time (s),Peak Range (m),Peak Velocity (m/s),Peak Magnitude
0,2.11281681060791,2.1840004920959473,17.469851576994415,-1.0101010101010104,5.674730074625263
1,2.199716567993164,4.4573304653167725,17.469851576994415,0.8912655971479495,5.531150483522451
2,2.077970027923584,6.655713081359863,17.469851576994415,-0.7724301841948904,5.603231566883445
3,2.2477962970733643,9.001214504241943,0.10435992578848641,1.0101010101010104,6.671564152482237
4,2.320152997970581,11.387748956680298,0.7722634508348847,1.0101010101010104,6.891295634934313
5,2.215712547302246,13.709249258041382,86.26391465677182,1.3666072489601895,6.117499657282904
6,2.289738416671753,16.05408811569214,17.469851576994415,0.7724301841948904,5.382532595223127
7,2.44681715965271,18.55471706390381,3.1099257884972076,-1.3666072489601895,6.388067898432353
8,2.7292873859405518,21.341137409210205,1.1062152133580696,-1.3666072489601895,6.183145888097354
9,2.684162139892578,24.096996784210205,0.10435992578848641,-0.41592394533570953,5.532076816954333
10,2.384153127670288,26.536967039108276,38.50881261595546,0.8912655971479495,5.830126723272945
11,2.5005509853363037,29.17050075531006,,,
12,2.347449541091919,31.580371141433716,3.4438775510203925,1.1289364230540713,5.952813340639411
13,2.246363878250122,33.92701983451843,3.1099257884972076,-0.8912655971479495,6.0115488143907605
14,2.3294460773468018,36.325112104415894,,,
15,2.343266725540161,38.77674913406372,,,
16,2.3400797843933105,41.1775689125061,0.10435992578848641,0.4159239453357113,6.091771967997905
17,2.274703025817871,43.56734848022461,0.7722634508348847,1.0101010101010104,6.644440662639897
18,2.2829596996307373,45.94749903678894,17.469851576994415,0.8912655971479495,5.504850078675519
19,2.061828851699829,48.110074281692505,17.469851576994415,-0.7724301841948904,5.507910533720541
20,2.2315454483032227,50.39306092262268,0.10435992578848641,-1.0101010101010104,5.922956577243967
21,2.162580966949463,52.617509603500366,115.31771799628945,1.3666072489601895,6.087056491753898
22,2.2339999675750732,54.95020604133606,17.469851576994415,-1.3666072489601895,5.4277671953938675
23,2.2777023315429688,57.31005549430847,,,
24,2.3206443786621094,59.723793029785156,142.70176252319106,-1.1289364230540695,6.343697464625501
25,2.3299200534820557,62.09645938873291,,,
