Frame,Processing Time (s),Total Time (s),Peak Range (m),Peak Velocity (m/s),Peak Magnitude
0,2.375821828842163,2.4124975204467773,17.469851576994415,-0.7724301841948904,5.470199422926867
1,2.2250311374664307,4.697627067565918,16.801948051948045,1.1289364230540713,5.463277577955285
2,2.367684841156006,7.1113669872283936,16.801948051948045,-1.3666072489601895,5.433255301399683
3,2.751154899597168,9.911590814590454,3.4438775510203925,1.1289364230540713,5.7148180551385375
4,2.5395171642303467,12.495627164840698,7.451298701298697,1.1289364230540713,5.6903645380116865
5,1.61922287940979,14.163140773773193,,,
6,2.6179990768432617,16.82397961616516,16.801948051948045,-0.41592394533570953,5.408489452311692
7,2.4162166118621826,19.284834623336792,16.801948051948045,0.6535947712418313,5.490660753228528
8,2.338667392730713,21.666353464126587,16.801948051948045,0.6535947712418313,5.392232654787133
9,2.336926221847534,24.061622619628906,4.445732838589976,-0.5347593582887704,5.5032252115845575
10,2.5583152770996094,26.662498950958252,4.111781076066791,-0.5347593582887704,5.404527276558536
11,2.499685764312744,29.206943035125732,,,
12,2.4500818252563477,31.701626539230347,17.469851576994415,0.8912655971479495,5.483904873173406
13,2.4446959495544434,34.1846809387207,17.469851576994415,0.8912655971479495,5.479726896148684
14,2.4025182723999023,36.639142990112305,,,
15,2.357856512069702,39.03587770462036,,,
16,2.388158082962036,41.47023105621338,17.469851576994415,-0.8912655971479495,5.552268257825442
17,2.375509262084961,43.881754875183105,17.469851576994415,-0.7724301841948904,5.506044557783371
18,1.3562097549438477,45.27617573738098,17.469851576994415,0.8912655971479495,5.455379146137013
