Frame,Processing Time (s),Total Time (s),Peak Range (m),Peak Velocity (m/s),Peak Magnitude
0,1.9720916748046875,1.999725580215454,17.469851576994415,-0.7724301841948904,5.470199422926867
1,1.9526081085205078,3.990114450454712,16.801948051948045,1.1289364230540713,5.463277577955285
2,1.9604625701904297,5.988076686859131,16.801948051948045,-1.3666072489601895,5.433255301399683
3,1.9202730655670166,7.945582151412964,3.4438775510203925,1.1289364230540713,5.7148180551385375
4,1.9537227153778076,9.9319748878479,7.451298701298697,1.1289364230540713,5.6903645380116865
5,1.978945255279541,11.943670511245728,,,
6,1.8980724811553955,13.873184442520142,16.801948051948045,-0.41592394533570953,5.408489452311692
7,1.9358909130096436,15.850626707077026,16.801948051948045,0.6535947712418313,5.490660753228528
8,1.9417667388916016,17.835966110229492,16.801948051948045,0.6535947712418313,5.392232654787133
9,1.9243900775909424,19.79624319076538,4.445732838589976,-0.5347593582887704,5.5032252115845575
10,1.953179121017456,21.801231384277344,4.111781076066791,-0.5347593582887704,5.404527276558536
11,2.3916714191436768,24.263577938079834,98.28617810760664,-1.1289364230540695,6.092815022399064
12,1.9329643249511719,26.244823694229126,17.469851576994415,0.8912655971479495,5.483904873173406
13,1.9257333278656006,28.212610960006714,17.469851576994415,0.8912655971479495,5.479726896148684
14,1.0762684345245361,29.331005334854126,162.73886827458256,-1.2477718360071304,6.4196274746195945
15,1.8645074367523193,31.234246015548706,14.130333951762509,1.2477718360071322,6.71393406190283
16,1.9129924774169922,33.1780800819397,17.469851576994415,-0.8912655971479495,5.552268257825442
17,1.9299287796020508,35.14278054237366,17.469851576994415,-0.7724301841948904,5.506044557783371
18,1.9385154247283936,37.11818265914917,17.469851576994415,0.8912655971479495,5.455379146137013
