Frame,Processing Time (s),Total Time (s),Peak Range (m),Peak Velocity (m/s),Peak Magnitude
0,2.3906593322753906,2.4321696758270264,17.469851576994415,-0.7724301841948904,4.727744319927666
1,2.3997645378112793,4.8826422691345215,,,
2,2.324850082397461,7.256394147872925,17.469851576994415,1.0101010101010104,4.799083937329485
3,2.449995756149292,9.755411624908447,16.801948051948045,1.0101010101010104,4.9483065202433565
4,1.5233643054962158,11.326695919036865,16.801948051948045,1.0101010101010104,4.9384067076203735
5,2.5383248329162598,13.913853406906128,,,
6,2.5677199363708496,16.530579805374146,17.469851576994415,1.0101010101010104,4.853555035295156
7,2.7642152309417725,19.34140157699585,4.779684601113161,-0.7724301841948904,4.963906952731076
8,2.5289487838745117,21.91833758354187,3.4438775510203925,-1.1289364230540695,5.0637506947371165
9,2.4529778957366943,24.413588285446167,17.469851576994415,1.0101010101010104,4.945685883515665
10,2.4174234867095947,26.867170333862305,16.801948051948045,1.1289364230540713,4.999578903207214
11,2.547734022140503,29.467965602874756,,,
12,2.6260557174682617,32.142064809799194,16.801948051948045,1.0101010101010104,4.982076908995345
13,2.5943541526794434,34.79418134689331,4.111781076066791,-0.8912655971479495,5.073727849298811
14,2.424461841583252,37.2626097202301,,,
15,2.35282039642334,39.6591579914093,,,
16,2.3822951316833496,41.22520303726196,17.469851576994415,1.0101010101010104,4.951664864602832
17,2.4334208965301514,43.69953370094299,17.469851576994415,-1.0101010101010104,5.00713158869185
