Frame,Processing Time (s),Total Time (s),Peak Range (m),Peak Velocity (m/s),Peak Magnitude
0,2.8475935459136963,2.9274299144744873,17.469851576994415,0.8912655971479495,4.785936393753237
1,3.0314767360687256,6.03012490272522,17.469851576994415,0.8912655971479495,4.7963042755130045
2,2.640174388885498,8.717486143112183,17.469851576994415,1.0101010101010104,4.871381416075507
3,2.684943914413452,11.459110736846924,37.50695732838591,0.7724301841948904,5.484934950114186
4,2.7206265926361084,14.247422218322754,0.7722634508348847,1.3666072489601895,5.970503692246672
5,2.7235100269317627,17.03790283203125,,,
6,2.706843614578247,19.806614637374878,17.469851576994415,0.8912655971479495,4.788049336523604
7,2.691746950149536,22.554423332214355,40.846474953617815,-1.3666072489601895,4.942175332020236
8,2.7457175254821777,25.346662044525146,0.7722634508348847,-1.3666072489601895,5.629655676333566
9,2.581293821334839,27.98080348968506,17.469851576994415,1.0101010101010104,4.923618071922663
10,2.681638240814209,30.73280954360962,0.10435992578848641,1.2477718360071322,6.018086549893313
11,2.7430176734924316,33.534775257110596,,,
12,2.6773762702941895,36.29437303543091,3.1099257884972076,1.1289364230540713,5.013731433092976
13,2.737668037414551,39.08365321159363,17.469851576994415,0.8912655971479495,4.933954052096613
14,2.733100175857544,41.88002824783325,,,
15,2.6325714588165283,44.58458137512207,,,
16,2.692328929901123,47.34585118293762,17.469851576994415,-0.7724301841948904,4.886513190161865
17,2.8152291774749756,50.23416471481323,0.10435992578848641,-1.0101010101010104,5.352219641350695
18,2.721658229827881,53.032496213912964,17.469851576994415,-0.8912655971479495,4.893572191617439
19,2.683081865310669,55.777836322784424,17.469851576994415,0.8912655971479495,4.885863259112272
20,2.7552566528320312,58.590927600860596,16.801948051948045,0.8912655971479495,4.786069329352815
21,2.7208504676818848,61.4219868183136,,,
22,2.661846399307251,64.14065933227539,17.469851576994415,0.8912655971479495,4.800364378719278
23,2.733985424041748,66.98234510421753,,,
